12:01:05.745 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
12:01:05.770 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
12:05:56.417 [ApplicationImpl pooled thread 64] INFO  c.b.l.BrowserStackRunExtension - maven
12:05:56.419 [ApplicationImpl pooled thread 64] INFO  com.browserstack.utils.Helpers - null
12:07:04.452 [ApplicationImpl pooled thread 70] INFO  c.b.l.BrowserStackRunExtension - maven
12:07:04.452 [ApplicationImpl pooled thread 70] INFO  com.browserstack.utils.Helpers - null
17:25:44.143 [ApplicationImpl pooled thread 385] INFO  c.b.l.BrowserStackRunExtension - application
17:25:44.144 [ApplicationImpl pooled thread 385] INFO  com.browserstack.utils.Helpers - null
17:31:15.839 [ApplicationImpl pooled thread 399] INFO  c.b.l.BrowserStackRunExtension - application
17:31:15.840 [ApplicationImpl pooled thread 399] INFO  com.browserstack.utils.Helpers - null
17:37:22.279 [ApplicationImpl pooled thread 411] INFO  c.b.l.BrowserStackRunExtension - application
17:37:22.280 [ApplicationImpl pooled thread 411] INFO  com.browserstack.utils.Helpers - null
17:41:13.454 [ApplicationImpl pooled thread 428] INFO  c.b.l.BrowserStackRunExtension - application
17:41:13.454 [ApplicationImpl pooled thread 428] INFO  com.browserstack.utils.Helpers - null
17:43:18.599 [ApplicationImpl pooled thread 412] INFO  c.b.l.BrowserStackRunExtension - application
17:43:18.599 [ApplicationImpl pooled thread 412] INFO  com.browserstack.utils.Helpers - null
17:52:09.529 [ApplicationImpl pooled thread 445] INFO  c.b.l.BrowserStackRunExtension - application
17:52:09.529 [ApplicationImpl pooled thread 445] INFO  com.browserstack.utils.Helpers - null
17:54:55.818 [ApplicationImpl pooled thread 445] INFO  c.b.l.BrowserStackRunExtension - application
17:54:55.818 [ApplicationImpl pooled thread 445] INFO  com.browserstack.utils.Helpers - null
17:56:01.879 [ApplicationImpl pooled thread 445] INFO  c.b.l.BrowserStackRunExtension - application
17:56:01.880 [ApplicationImpl pooled thread 445] INFO  com.browserstack.utils.Helpers - null
18:00:06.974 [ApplicationImpl pooled thread 470] INFO  c.b.l.BrowserStackRunExtension - application
18:00:06.974 [ApplicationImpl pooled thread 470] INFO  com.browserstack.utils.Helpers - null
18:01:13.796 [ApplicationImpl pooled thread 473] INFO  c.b.l.BrowserStackRunExtension - application
18:01:13.798 [ApplicationImpl pooled thread 473] INFO  com.browserstack.utils.Helpers - null
18:04:19.452 [ApplicationImpl pooled thread 476] INFO  c.b.l.BrowserStackRunExtension - application
18:04:19.452 [ApplicationImpl pooled thread 476] INFO  com.browserstack.utils.Helpers - null
18:10:07.297 [ApplicationImpl pooled thread 490] INFO  c.b.l.BrowserStackRunExtension - application
18:10:07.297 [ApplicationImpl pooled thread 490] INFO  com.browserstack.utils.Helpers - null
18:13:46.146 [ApplicationImpl pooled thread 494] INFO  c.b.l.BrowserStackRunExtension - application
18:13:46.147 [ApplicationImpl pooled thread 494] INFO  com.browserstack.utils.Helpers - null
18:15:16.939 [ApplicationImpl pooled thread 504] INFO  c.b.l.BrowserStackRunExtension - maven
18:15:16.939 [ApplicationImpl pooled thread 504] INFO  com.browserstack.utils.Helpers - null
18:16:07.911 [ApplicationImpl pooled thread 496] INFO  c.b.l.BrowserStackRunExtension - application
18:16:07.911 [ApplicationImpl pooled thread 496] INFO  com.browserstack.utils.Helpers - null
18:17:10.613 [ApplicationImpl pooled thread 490] INFO  c.b.l.BrowserStackRunExtension - application
18:17:10.613 [ApplicationImpl pooled thread 490] INFO  com.browserstack.utils.Helpers - null
